"data_deteccao","longitude","latitude","data_quebra","magnitude","r2_historico","n_obs"
"2026-09-04",-44.786002563185,-20.9685202776821,"2026-01-09",-0.018598,0.2969,330
"2026-09-04",-44.786002563185,-20.9684304461537,"2026-01-09",-0.037302,0.3126,330
"2026-09-04",-44.786002563185,-20.9683406146253,"2026-01-09",-0.03081,0.2902,331
"2026-09-04",-44.786002563185,-20.9682507830968,"2026-01-09",-0.045813,0.276,331
"2026-09-04",-44.786002563185,-20.96807112004,"2026-07-14",0.086474,0.4673,327
"2026-09-04",-44.786002563185,-20.9679812885116,"2026-09-03",0.067972,0.3526,324
"2026-09-04",-44.7859127316566,-20.9686101092105,"2026-01-09",-0.002089,0.2812,329
"2026-09-04",-44.7859127316566,-20.9685202776821,"2026-01-09",-0.003182,0.2876,329
"2026-09-04",-44.7859127316566,-20.9684304461537,"2026-01-09",-0.004519,0.2989,331
"2026-09-04",-44.7859127316566,-20.9683406146253,"2026-01-09",-0.015127,0.2906,333
"2026-09-04",-44.7859127316566,-20.9682507830968,"2026-01-09",-0.022687,0.3066,332
"2026-09-04",-44.7859127316566,-20.96807112004,"2026-06-04",0.078089,0.3915,330
"2026-09-04",-44.7858229001282,-20.9701372451935,"2026-06-28",0.09252,0.4796,324
"2026-09-04",-44.7858229001282,-20.9686101092105,"2026-01-09",0.00462,0.2723,328
"2026-09-04",-44.7858229001282,-20.9685202776821,"2026-01-09",0.013222,0.2755,329
"2026-09-04",-44.7858229001282,-20.9684304461537,"2026-01-09",0.009211,0.2863,330
"2026-09-04",-44.7858229001282,-20.9683406146253,"2026-01-09",0.010917,0.2968,330
"2026-09-04",-44.7858229001282,-20.9681609515684,"2026-06-04",0.075595,0.4326,332
"2026-09-04",-44.7858229001282,-20.9656456687729,"2026-01-09",0.02766,0.4068,327
"2026-09-04",-44.7857330685998,-20.9701372451935,"2026-08-28",0.113053,0.4668,326
"2026-09-04",-44.7857330685998,-20.9686101092105,"2026-01-09",-0.00174,0.2893,328
"2026-09-04",-44.7857330685998,-20.9685202776821,"2026-01-09",-0.011052,0.2892,328
"2026-09-04",-44.7857330685998,-20.9684304461537,"2026-01-09",-0.016424,0.3032,328
"2026-09-04",-44.7857330685998,-20.9681609515684,"2026-07-29",0.077895,0.3637,330
"2026-09-04",-44.7857330685998,-20.9660049948865,"2026-01-09",-0.005452,0.4059,326
"2026-09-04",-44.7857330685998,-20.9657355003013,"2026-01-09",0.034625,0.3159,328
"2026-09-04",-44.7857330685998,-20.9656456687729,"2026-01-09",0.032642,0.3025,329
"2026-09-04",-44.7857330685998,-20.9655558372445,"2026-01-09",0.034494,0.3136,330
"2026-09-04",-44.7857330685998,-20.9654660057161,"2026-01-09",0.059782,0.2948,332
"2026-09-04",-44.7856432370714,-20.9686101092105,"2026-01-09",-0.016755,0.3104,328
"2026-09-04",-44.7856432370714,-20.9685202776821,"2026-01-09",-0.026184,0.3145,327
"2026-09-04",-44.7856432370714,-20.9684304461537,"2026-01-09",-0.032561,0.3265,328
"2026-09-04",-44.7856432370714,-20.9682507830968,"2026-07-14",0.083276,0.4429,333
"2026-09-04",-44.7856432370714,-20.966094826415,"2026-01-09",-0.107323,0.3978,325
"2026-09-04",-44.7856432370714,-20.9660049948865,"2026-01-09",-0.093017,0.374,326
"2026-09-04",-44.7856432370714,-20.9659151633581,"2026-01-09",0.012999,0.327,329
"2026-09-04",-44.7856432370714,-20.9658253318297,"2026-01-09",0.031278,0.3057,327
"2026-09-04",-44.7856432370714,-20.9657355003013,"2026-01-09",0.042296,0.2998,327
"2026-09-04",-44.7856432370714,-20.9656456687729,"2026-01-09",0.04711,0.2991,329
"2026-09-04",-44.7856432370714,-20.9655558372445,"2026-01-09",0.05143,0.3045,330
"2026-09-04",-44.7856432370714,-20.9654660057161,"2026-01-09",0.062512,0.3076,332
"2026-09-04",-44.7855534055429,-20.9686101092105,"2026-01-09",-0.009985,0.3231,327
"2026-09-04",-44.7855534055429,-20.9685202776821,"2026-01-09",-0.023998,0.333,328
"2026-09-04",-44.7855534055429,-20.9682507830968,"2026-08-02",0.095651,0.3534,330
"2026-09-04",-44.7855534055429,-20.9660049948865,"2026-01-09",-0.119992,0.3412,323
"2026-09-04",-44.7855534055429,-20.9659151633581,"2026-01-09",-0.038818,0.3259,325
"2026-09-04",-44.7855534055429,-20.9658253318297,"2026-01-09",0.035359,0.31,327
"2026-09-04",-44.7855534055429,-20.9657355003013,"2026-01-09",0.041697,0.3152,328
"2026-09-04",-44.7855534055429,-20.9656456687729,"2026-01-09",0.047983,0.3193,328
"2026-09-04",-44.7855534055429,-20.9655558372445,"2026-01-09",0.054157,0.3244,330
"2026-09-04",-44.7854635740145,-20.9685202776821,"2026-01-09",-0.041032,0.3552,327
