"longitude","latitude","n_obs","historico_inicio","historico_fim","n_historico","r2_historico","sigma_historico","data_quebra","desvio_quebra","magnitude","aviso"
-44.7773787364575,-20.9682507830968,583,2019-01-02,2021-05-31,177,0.2659,0.3071,2024-07-14,-0.242374,-0.152378,NA
-44.7774685679859,-20.9671728047559,583,2019-01-02,2021-05-31,177,0.21,0.3224,NA,NA,0.099937,NA
-44.7774685679859,-20.9672626362843,583,2019-01-02,2021-05-31,177,0.2191,0.3281,NA,NA,0.099649,NA
-44.7774685679859,-20.9673524678127,583,2019-01-02,2021-05-31,177,0.2246,0.3301,NA,NA,0.111486,NA
-44.7774685679859,-20.9674422993411,583,2019-01-02,2021-05-31,177,0.2282,0.3277,NA,NA,0.109994,NA
-44.7774685679859,-20.9675321308695,583,2019-01-02,2021-05-31,177,0.2311,0.3201,NA,NA,0.085388,NA
-44.7774685679859,-20.967621962398,583,2019-01-02,2021-05-31,177,0.2332,0.3176,2024-10-22,-0.223856,-0.017607,NA
-44.7774685679859,-20.9677117939264,583,2019-01-02,2021-05-31,177,0.2353,0.3203,2024-08-18,-0.329308,-0.081973,NA
-44.7774685679859,-20.9678016254548,583,2019-01-02,2021-05-31,177,0.2368,0.3225,2024-07-29,-0.289215,-0.117407,NA
-44.7774685679859,-20.9678914569832,583,2019-01-02,2021-05-31,177,0.239,0.3222,2024-07-29,-0.292764,-0.123097,NA
-44.7774685679859,-20.9679812885116,583,2019-01-02,2021-05-31,177,0.2535,0.3188,2024-07-19,-0.197328,-0.128047,NA
-44.7774685679859,-20.96807112004,583,2019-01-02,2021-05-31,177,0.2706,0.315,2024-07-14,-0.235524,-0.150027,NA
-44.7774685679859,-20.9681609515684,583,2019-01-02,2021-05-31,177,0.2799,0.3128,2024-07-14,-0.252129,-0.157641,NA
-44.7774685679859,-20.9682507830968,583,2019-01-02,2021-05-31,177,0.2799,0.3128,2024-07-14,-0.252129,-0.157641,NA
-44.7774685679859,-20.9683406146253,583,2019-01-02,2021-05-31,177,0.2769,0.3115,2024-07-14,-0.265849,-0.149403,NA
-44.7775583995143,-20.9671728047559,583,2019-01-02,2021-05-31,177,0.215,0.3247,NA,NA,0.092818,NA
-44.7775583995143,-20.9672626362843,583,2019-01-02,2021-05-31,177,0.2192,0.3278,NA,NA,0.104722,NA
-44.7775583995143,-20.9673524678127,583,2019-01-02,2021-05-31,177,0.2239,0.3248,NA,NA,0.115238,NA
-44.7775583995143,-20.9674422993411,583,2019-01-02,2021-05-31,177,0.2312,0.3209,NA,NA,0.103538,NA
-44.7775583995143,-20.9675321308695,583,2019-01-02,2021-05-31,177,0.2342,0.315,NA,NA,0.005691,NA
-44.7775583995143,-20.967621962398,583,2019-01-02,2021-05-31,177,0.2385,0.3164,2024-08-18,-0.335506,-0.070295,NA
-44.7775583995143,-20.9677117939264,583,2019-01-02,2021-05-31,177,0.242,0.3192,2024-08-03,-0.296622,-0.108891,NA
-44.7775583995143,-20.9678016254548,583,2019-01-02,2021-05-31,177,0.2407,0.3223,2024-07-29,-0.289548,-0.124533,NA
-44.7775583995143,-20.9678914569832,583,2019-01-02,2021-05-31,177,0.2475,0.3216,2024-07-14,-0.21628,-0.133466,NA
-44.7775583995143,-20.9679812885116,583,2019-01-02,2021-05-31,177,0.269,0.3158,2024-07-14,-0.213579,-0.161629,NA
-44.7775583995143,-20.96807112004,583,2019-01-02,2021-05-31,177,0.283,0.316,2024-07-09,-0.218093,-0.165541,NA
-44.7775583995143,-20.9681609515684,583,2019-01-02,2021-05-31,177,0.283,0.316,2024-07-09,-0.218093,-0.165541,NA
-44.7775583995143,-20.9682507830968,583,2019-01-02,2021-05-31,177,0.2813,0.3147,2024-07-14,-0.241904,-0.153804,NA
-44.7775583995143,-20.9683406146253,583,2019-01-02,2021-05-31,177,0.2725,0.311,2024-07-14,-0.255572,-0.137254,NA
-44.7775583995143,-20.9684304461537,583,2019-01-02,2021-05-31,177,0.2594,0.3135,2024-07-24,-0.294535,-0.132138,NA
-44.7776482310427,-20.9670829732275,583,2019-01-02,2021-05-31,177,0.2133,0.3204,NA,NA,0.086783,NA
-44.7776482310427,-20.9671728047559,583,2019-01-02,2021-05-31,177,0.2218,0.3263,NA,NA,0.085704,NA
-44.7776482310427,-20.9672626362843,583,2019-01-02,2021-05-31,177,0.2249,0.3258,NA,NA,0.115477,NA
-44.7776482310427,-20.9673524678127,583,2019-01-02,2021-05-31,177,0.2311,0.3208,NA,NA,0.11288,NA
-44.7776482310427,-20.9674422993411,583,2019-01-02,2021-05-31,177,0.2378,0.3137,NA,NA,0.069703,NA
-44.7776482310427,-20.9675321308695,583,2019-01-02,2021-05-31,177,0.2391,0.3111,2024-10-07,-0.241531,-0.04365,NA
-44.7776482310427,-20.967621962398,583,2019-01-02,2021-05-31,177,0.2459,0.316,2024-08-13,-0.326866,-0.103489,NA
-44.7776482310427,-20.9677117939264,583,2019-01-02,2021-05-31,177,0.2473,0.3207,2024-08-03,-0.297699,-0.123531,NA
-44.7776482310427,-20.9678016254548,583,2019-01-02,2021-05-31,177,0.2478,0.3216,2024-07-29,-0.289966,-0.123895,NA
-44.7776482310427,-20.9678914569832,583,2019-01-02,2021-05-31,177,0.2619,0.3173,2024-07-14,-0.216125,-0.151793,NA
-44.7776482310427,-20.9679812885116,583,2019-01-02,2021-05-31,177,0.2804,0.313,2024-07-09,-0.2202,-0.169107,NA
-44.7776482310427,-20.96807112004,583,2019-01-02,2021-05-31,177,0.2852,0.3121,2024-07-14,-0.245234,-0.167149,NA
-44.7776482310427,-20.9681609515684,583,2019-01-02,2021-05-31,177,0.2852,0.3121,2024-07-14,-0.245234,-0.167149,NA
-44.7776482310427,-20.9682507830968,583,2019-01-02,2021-05-31,177,0.2786,0.3104,2024-07-14,-0.248306,-0.148767,NA
-44.7776482310427,-20.9683406146253,583,2019-01-02,2021-05-31,177,0.2649,0.3088,2024-07-14,-0.257445,-0.141243,NA
-44.7776482310427,-20.9684304461537,583,2019-01-02,2021-05-31,177,0.256,0.3133,2024-07-14,-0.272131,-0.138416,NA
-44.7776482310427,-20.9685202776821,583,2019-01-02,2021-05-31,177,0.2473,0.3158,2024-07-14,-0.275182,-0.137089,NA
-44.7777380625711,-20.9670829732275,583,2019-01-02,2021-05-31,177,0.2189,0.3188,NA,NA,0.086701,NA
-44.7777380625711,-20.9671728047559,583,2019-01-02,2021-05-31,177,0.2256,0.3242,NA,NA,0.102854,NA
