"longitude","latitude","n_obs","historico_inicio","historico_fim","n_historico","r2_historico","sigma_historico","data_quebra","desvio_quebra","magnitude","aviso"
-44.7777380625711,-20.9672626362843,321,2019-01-07,2021-05-26,86,0.8167,0.0403,2021-08-19,0.004956,0.003477,NA
-44.7777380625711,-20.9673524678127,321,2019-01-07,2021-05-26,85,0.8515,0.0372,2021-08-24,0.009695,-0.003808,NA
-44.7777380625711,-20.9674422993411,323,2019-01-07,2021-05-26,87,0.7933,0.0565,2022-02-15,-0.06868,-0.070917,NA
-44.7777380625711,-20.9675321308695,323,2019-01-07,2021-05-26,87,0.6468,0.0939,2023-09-23,-0.050089,-0.100457,NA
-44.7777380625711,-20.967621962398,322,2019-01-07,2021-05-26,87,0.6483,0.0986,2023-09-18,-0.021858,-0.108639,NA
-44.7777380625711,-20.9677117939264,321,2019-01-07,2021-05-26,87,0.6221,0.1058,2023-09-23,-0.029165,-0.111307,NA
-44.7777380625711,-20.9678016254548,321,2019-01-07,2021-05-26,87,0.6605,0.0997,2023-09-18,-0.034425,-0.133619,NA
-44.7777380625711,-20.9678914569832,321,2019-01-07,2021-05-26,88,0.7219,0.0871,2022-03-27,0.054223,-0.161785,NA
-44.7777380625711,-20.9679812885116,321,2019-01-07,2021-05-26,88,0.7393,0.0839,2022-03-22,0.055703,-0.164789,NA
-44.7777380625711,-20.96807112004,321,2019-01-07,2021-05-26,88,0.7593,0.0792,2022-03-07,0.045762,-0.17585,NA
-44.7777380625711,-20.9681609515684,321,2019-01-07,2021-05-26,88,0.7593,0.0792,2022-03-07,0.045762,-0.17585,NA
-44.7777380625711,-20.9682507830968,324,2019-01-07,2021-05-26,88,0.7163,0.0847,2022-04-16,0.069666,-0.15733,NA
-44.7777380625711,-20.9683406146253,324,2019-01-07,2021-05-26,88,0.6556,0.0936,2023-04-01,0.062838,-0.149146,NA
-44.7777380625711,-20.9684304461537,325,2019-01-07,2021-05-26,88,0.5769,0.1059,2023-09-03,-0.040884,-0.181862,NA
-44.7777380625711,-20.9685202776821,326,2019-01-07,2021-05-26,88,0.5074,0.1131,2023-09-03,-0.060159,-0.21962,NA
-44.7778278940995,-20.9670829732275,323,2019-01-07,2021-05-26,87,0.7973,0.0425,2021-08-14,0.011958,0.000217,NA
-44.7778278940995,-20.9671728047559,324,2019-01-07,2021-05-26,87,0.7566,0.0452,2021-08-14,0.007781,-0.001173,NA
-44.7778278940995,-20.9672626362843,322,2019-01-07,2021-05-26,86,0.8072,0.0404,2021-08-14,0.005209,-0.001651,NA
-44.7778278940995,-20.9673524678127,322,2019-01-07,2021-05-26,85,0.8395,0.0405,2021-08-24,-0.002018,-0.025842,NA
-44.7778278940995,-20.9674422993411,323,2019-01-07,2021-05-26,86,0.7435,0.0698,2023-09-18,-0.039996,-0.088987,NA
-44.7778278940995,-20.9675321308695,323,2019-01-07,2021-05-26,87,0.6517,0.0953,2023-09-18,-0.03445,-0.120225,NA
-44.7778278940995,-20.967621962398,321,2019-01-07,2021-05-26,87,0.6457,0.0983,2023-09-18,-0.041536,-0.104622,NA
-44.7778278940995,-20.9677117939264,321,2019-01-07,2021-05-26,87,0.6448,0.1014,2023-09-18,-0.031725,-0.109689,NA
-44.7778278940995,-20.9678016254548,321,2019-01-07,2021-05-26,87,0.7159,0.0896,2022-03-27,0.039903,-0.145858,NA
-44.7778278940995,-20.9678914569832,321,2019-01-07,2021-05-26,88,0.7544,0.0819,2022-03-22,0.048076,-0.165737,NA
-44.7778278940995,-20.9679812885116,319,2019-01-07,2021-05-26,89,0.7585,0.0793,2022-03-22,0.046436,-0.159838,NA
-44.7778278940995,-20.96807112004,318,2019-01-07,2021-05-26,88,0.7685,0.0776,2022-03-02,0.028401,-0.16112,NA
-44.7778278940995,-20.9681609515684,318,2019-01-07,2021-05-26,88,0.7685,0.0776,2022-03-02,0.028401,-0.16112,NA
-44.7778278940995,-20.9682507830968,321,2019-01-07,2021-05-26,88,0.7019,0.0883,2022-04-26,0.064082,-0.149634,NA
-44.7778278940995,-20.9683406146253,321,2019-01-07,2021-05-26,88,0.6557,0.0942,2023-04-21,0.069883,-0.158175,NA
